5362|331.75827 +10.23355           | 0.5|NGC 7212 NED02                |22h07m01.98s|+10d14m00.3s|G     |  0.026665|Sy 1 h                                  
5649|139.60829 +16.30547           | 0.5|MRK 0704                      |09h18m26.01s|+16d18m19.2s|G     |  0.029234|Sy 1.2                                  
5656|219.09204 +58.79425           | 0.2|UGC 09412                     |14h36m22.07s|+58d47m39.4s|G     |  0.031455|Sy 1.5                                  
5788|70.94501 +28.97183            | 0.4|UGC 03142                     |04h43m46.79s|+28d58m18.9s|G     |  0.021655|Sy 1.0                                  
5865|270.03036 +66.61510           | 0.3|NGC 6552                      |18h00m07.23s|+66d36m54.4s|G     |  0.026492|Sy 1 h                                  
6080|0.79005 +21.96022             | 0.3|UGC 00006                     |00h03m09.62s|+21d57m36.6s|G     |  0.021945|Sy 1.8                                  
6090|116.87109 +60.93357           | 0.6|UGC 04013                     |07h47m29.13s|+60d56m00.6s|G     |  0.029255|Sy 1                                    
6092|129.54559 +24.89524           | 0.2|NGC 2622                      |08h38m10.94s|+24d53m43.0s|G     |  0.028624|Sy 1.8                                  
6457|28.84175 +6.61175             | 0.5|UGC 01395                     |01h55m22.04s|+06d36m42.6s|G     |  0.017405|Sy 1.9                                  
6795|301.74142 -34.54852           | 0.0|ESO 399-IG 020 NED02          |20h06m57.94s|-34d32m54.7s|G     |  0.024950|NL Sy 1                                 
6806|114.23766 +58.77040           | 0.5|MRK 0009                      |07h36m56.98s|+58d46m13.4s|G     |  0.039874|Sy 1.5                                  
6832|20.08207 -44.12866            | 1.0|ESO 244- G 017                |01h20m19.63s|-44d07m42.6s|G     |  0.023500|Sy 1.5                                  
7049|311.58679 -2.81265            | 0.6|MRK 0896                      |20h46m20.87s|-02d48m45.3s|G     |  0.026424|NL Sy 1                                 
7084|140.92915 +22.90903           | 0.2|CGCG 121-075                  |09h23m43.00s|+22d54m32.6s|G     |  0.032349|Sy 1.2                                  
7112|82.48121 +44.57750            | 0.0|2MASX J05295547+4434388       |05h29m55.49s|+44d34m39.0s|G     |  0.032169|NL Sy 1                                 
7468|16.32031 -58.43752            | 1.4|ESO 113- G 010                |01h05m16.73s|-58d26m14.2s|G     |  0.025701|Sy 1.8                                  
7538|141.51361 +12.73442           | 0.5|UGC 05025                     |09h26m03.29s|+12d44m03.6s|G     |  0.029150|Sy 1.2                                  
7567|338.12854 +8.20713            | 0.0|ARK 557                       |22h32m30.85s|+08d12m25.7s|G     |  0.025194|Sy 1.5                                  
7572|56.91759 +1.08731             | 0.6|2MASX J03474022+0105143       |03h47m40.19s|+01d05m14.0s|G     |  0.031000|Sy 1.5                                  
7574|205.30370 -14.64455           | 0.3|2MASX J13411287-1438407       |13h41m12.90s|-14d38m40.6s|G     |  0.041790|NL Sy 1                                 
7614|176.31648 +79.68150           | 0.2|UGC 06728                     |11h45m16.02s|+79d40m53.4s|G     |  0.006518|Sy 1.2                                  
7984|247.45142 +67.37832           | 0.5|MRK 0885                      |16h29m48.25s|+67d22m41.8s|G     |  0.025328|Sy 1.0                                  
7987|340.07114 +8.05374            | 0.7|UGC 12138                     |22h40m17.05s|+08d03m14.1s|G     |  0.024974|Sy 1.8                                  
8169|58.44274 +19.97391            | 0.0|IC 0355                       |03h53m46.26s|+19d58m26.1s|G     |  0.028847|Sy 1                                    
8271|324.63925 +32.08498           | 0.3|CGCG 493-002                  |21h38m33.44s|+32d05m05.8s|G     |  0.024800|Sy 1.5                                  
8292|237.67294 -3.88830            | 0.5|2MASX J15504152-0353175       |15h50m41.50s|-03d53m18.3s|G     |  0.030300|Sy 1 h                                  
8797|343.68124 +11.71411           | 0.0|UGC 12243                     |22h54m43.50s|+11d42m50.8s|G     |  0.028313|Sy 1                                    
