3976|311.89206 +0.41163            | 0.1|NGC 6967                      |20h47m34.10s|+00d24m41.8s|G     |  0.012569|Sy 2                                    
4020|260.85492 +56.97454           | 0.0|NGC 6370                      |17h23m25.18s|+56d58m28.3s|G     |  0.027152|Sy 2                                    
4198|4.59825 +30.06325             | 0.0|NGC 0071                      |00h18m23.58s|+30d03m47.7s|G     |  0.022339|Sy 2                                    
4306|77.08209 +17.36324            | 0.5|CGCG 468-002 NED01            |05h08m19.69s|+17d21m48.1s|G     |  0.017505|Sy 2                                    
4524|205.27388 +67.67218           | 0.5|NGC 5283                      |13h41m05.76s|+67d40m20.3s|G     |  0.010404|Sy 2                                    
4689|108.51608 +35.27928           | 0.0|UGC 03752                     |07h14m03.86s|+35d16m45.4s|G     |  0.015694|Sy 2                                    
4695|                              | 5.4|NGC 5256                      |13h38m17.50s|+48d16m37.0s|GPair |  0.027863|Sy 2                                    
4786|318.55246 +2.17799            | 0.0|IC 1368                       |21h14m12.59s|+02d10m40.8s|G     |  0.013049|Sy 2                                    
4985|30.07940 +24.47369            | 0.1|UGC 01479                     |02h00m19.06s|+24d28m25.3s|G     |  0.016435|Sy 2                                    
4986|34.34610 +38.41382            | 0.2|UGC 01757                     |02h17m23.05s|+38d24m49.9s|G     |  0.017525|Sy 2                                    
5044|218.43173 -14.61969           | 0.1|NGC 5664                      |14h33m43.62s|-14d37m10.9s|G     |  0.015157|Sy 2                                    
5142|77.45905 +7.48344             | 0.8|UGC 03255                     |05h09m50.21s|+07d28m59.9s|G     |  0.018910|Sy 2                                    
5309|352.26627 +3.53334            | 0.4|NGC 7682                      |23h29m03.93s|+03d32m00.0s|G     |  0.017140|Sy 2                                    
5356|287.72464 +73.41016           | 0.0|NGC 6786                      |19h10m53.91s|+73d24m36.6s|G     |  0.025017|Sy 2                                    
5420|205.41504 +55.67072           | 0.3|NGC 5278                      |13h41m39.62s|+55d40m14.3s|G     |  0.025154|Sy 2                                    
5459|281.93353 -63.15700           | 0.0|IC 4769                       |18h47m44.05s|-63d09m25.2s|G     |  0.015124|Sy 2                                    
5566|352.91275 +25.94533           | 0.0|UGC 12646                     |23h31m39.06s|+25d56m43.2s|G     |  0.026799|Sy 2                                    
5608|339.01483 +33.97575           | 0.2|NGC 7319                      |22h36m03.55s|+33d58m32.6s|G     |  0.022507|Sy 2                                    
5752|44.08975 -32.18559            | 0.0|ESO 417- G 006                |02h56m21.54s|-32d11m08.1s|G     |  0.016291|Sy 2                                    
5763|6.81755 -1.78018              | 0.2|NGC 0118                      |00h27m16.22s|-01d46m48.5s|G     |  0.037526|Sy 2                                    
5778|25.99074 +2.34988             | 0.4|UGC 01214                     |01h43m57.80s|+02d20m59.7s|G     |  0.017179|Sy 2                                    
5898|40.41124 -28.17129            | 0.1|IC 1833                       |02h41m38.70s|-28d10m16.6s|G     |  0.016518|Sy 2                                    
6172|346.32843 +0.18946            | 0.3|UGC 12348                     |23h05m18.84s|+00d11m22.3s|G     |  0.025454|Sy 2                                    
6372|349.00290 +25.55669           | 0.1|IC 5298                       |23h16m00.70s|+25d33m24.1s|G     |  0.027422|Sy 2                                    
6436|73.35728 +4.06159             | 0.0|CGCG 420-015                  |04h53m25.75s|+04d03m41.7s|G     |  0.029390|Sy 2                                    
6581|359.01627 -0.98844            | 0.3|IC 1515                       |23h56m03.91s|-00d59m18.7s|G     |  0.022232|Sy 2                                    
6928|181.12355 +20.31623           | 0.4|NGC 4074                      |12h04m29.68s|+20d18m58.4s|G     |  0.022445|Sy 2                                    
7414|52.67033 -3.13773             | 0.5|MRK 0612                      |03h30m40.89s|-03d08m16.3s|G     |  0.020454|Sy 2                                    
7646|233.94888 +73.45078           | 0.6|UGC 09944                     |15h35m47.86s|+73d27m02.5s|G     |  0.024530|Sy 2                                    
7762|161.03557 +70.40536           | 0.0|CGCG 333-049                  |10h44m08.54s|+70d24m19.3s|G     |  0.033577|Sy 2                                    
7775|250.21776 -6.31460            | 0.1|2MASX J16405227-0618526       |16h40m52.26s|-06d18m52.6s|G     |  0.027742|Sy 2                                    
8376|190.35727 -57.83432           | 0.1|WKK 1263                      |12h41m25.74s|-57d50m03.5s|G     |  0.024430|Sy 2                                    
8389|253.07858 +55.90552           | 0.0|UGC 10593                     |16h52m18.86s|+55d54m19.9s|G     |  0.029150|Sy 2                                    
8515|42.46585 +34.98795            | 0.3|MRK 1058                      |02h49m51.83s|+34d59m16.8s|G     |  0.017139|Sy 2                                    
8871|                              | 0.5|MRK 0273                      |13h44m42.11s|+55d53m12.7s|G     |  0.037780|Sy 2                                    
8911|192.19333 +41.92127           | 0.3|NGC 4704                      |12h48m46.43s|+41d55m16.5s|G     |  0.027132|Sy 2                                    
8985|103.15411 +45.78063           | 0.0|CGCG 234-021                  |06h52m36.99s|+45d46m50.3s|G     |  0.021838|Sy 2                                    
9419|41.01189 -26.18640            | 0.1|ESO 479- G 030                |02h44m02.85s|-26d11m11.1s|G     |  0.035314|Sy 2                                    
9440|205.29649 +30.37809           | 0.3|MRK 0268                      |13h41m11.14s|+30d22m41.2s|G     |  0.039861|Sy 2                                    
9647|165.39160 +45.65383           | 0.4|UGC 06100                     |11h01m34.00s|+45d39m14.2s|G     |  0.029500|Sy 2                                    
