CGCG_114-022|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/18/CGCG_1835.4+1958:S:UBVR:f2000.fits.gz']
CGCG_501-070|[]
UGC_01359|[]
UGC_02248|[]
2MASX_J03085122+2713013|[]
CGCG_233-025|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/06/CGCG_0637.2+5012:S:UBVR:f2000.fits.gz']
CGCG_333-049|[]
ESO_268-_G_027|[]
ESO_471-_G_024|[]
MCG_-01-03-032|[]
UGC_01357|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/01/CGCG_0150.6+1942:S:UBVR:f2000.fits.gz']
UGC_03776|[]
UGC_11019|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/04/CGCG_1750.3+6253:S:UBVR:f2000.fits.gz']
NGC_7074|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/21/CGCG_2127.2+0627:S:UBVR:f2000.fits.gz']
UGC_01035|[]
NGC_1780|[]
2MASX_J16405227-0618526|[]
IC_1481|[]
NGC_0389|[]
KK_2902|[]
IC_1360|[]
UGC_11743|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/21/CGCG_2123.9+3016:S:UBVR:f2000.fits.gz']
ARK_577|[]
UGC_02956|[]
2MASX_J13204007-1738564|[]
UGC_10386|[]
CGCG_082-012|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/17/CGCG_1706.7+0929:S:UBVR:f2000.fits.gz']
CGCG_225-061_NED01|[]
NGC_6536|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/17/CGCG_1757.1+6456:S:UBVR:f2000.fits.gz']
NGC_7594|[]
NGC_7656|[]
AM_0124-355|[]
CGCG_551-023|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/01/CGCG_0129.5+4909:S:UBVR:f2000.fits.gz']
CGCG_539-118|[]
2MASX_J03413516+1333026|[]
CGCG_307-021|[]
UGC_07190|[]
2MFGC_11842|[]
MRK_0919|[]
CGCG_455-024|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/23/CGCG_2333.3+1606:S:UBVR:f2000.fits.gz']
NGC_0314|['http://ned.ipac.caltech.edu/spc1/2003/20032dF...C...0000C/411/2dFGRS_S444Z159:S:OPT:c2003.fits.gz']
LSBC_F469-01|[]
MCG_-01-32-038|[]
NGC_5235|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/13/CGCG_1333.5+0650:S:UBVR:f2000.fits.gz']
CGCG_493-015|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/21/CGCG_2154.9+3030:S:UBVR:f2000.fits.gz']
NGC_0145|[]
MCG_-06-04-053|[]
IC_1942_NED02|[]
2MASX_J04344671-1329047|[]
CGCG_308-091_NED01|[]
CGCG_174-004|[]
UGC_03593|[]
CGCG_234-039|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/06/CGCG_0655.4+4531:S:UBVR:f2000.fits.gz']
UGC_09355|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/14/CGCG_1430.4+7928:S:UBVR:f2000.fits.gz']
CGCG_531-012|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/22/CGCG_2245.1+4036:S:UBVR:f2000.fits.gz']
NGC_1086|[]
III_Zw_053_NED01|[]
NGC_4869|[]
II_Zw_089|[]
NGC_0228|[]
UGC_02001|[]
FGC_0475|[]
CGCG_127-130|[]
UGC_10885|[]
2MASX_J14190967-1928405|[]
NGC_6349|[]
CGCG_201-014|[]
UGC_12124_NED01|[]
UGC_00039|[]
NGC_0819|[]
UGC_02011|[]
CGCG_539-129|[]
UGC_03026|[]
CGCG_234-112|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/07/CGCG_0711.5+4550:S:UBVR:f2000.fits.gz']
CGCG_333-036|[]
ESO_235-_G_060|[]
2MASX_J23170338+7153531|[]
UGC_00202|[]
UGC_04094|[]
2MASX_J10094027-3950217|[]
CGCG_219-044|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/13/CGCG_1359.5+3855:S:UBVR:f2000.fits.gz']
