NGC_2903|['http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_2903:S:UBVR:k1992.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_2905:S:B:hbc1980.fits.gz']
MESSIER_065|['http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_3623:S:UBVR:k1992.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/11/CGCG_1116.3+1322:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_3623:S:FIR:b2008.fits.gz']
NGC_4565|[]
NGC_2841|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_2841:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_2841:S:R:hbc1980.fits.gz']
NGC_6744|['http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_6744:S:FIR:b2008.fits.gz']
MESSIER_085|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_0798:S:BVR:gzs2004.fits.gz']
NGC_2974|[]
MESSIER_086|[]
NGC_1023|[]
MESSIER_088|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1401:S:BVR:gzs2004.fits.gz']
MESSIER_084|['http://ned.ipac.caltech.edu/spc1/2009/2009A+A...495.1033B/3C_272.1:S:B:bcc2009.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2009/2009A+A...495.1033B/3C_272.1:S:RI:bcc2009.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_4374:S:FIR:b2008.fits.gz']
MESSIER_105|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/NGC_3379:S:BVR:gzs2004.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_3379:S:UBVR:k1992.fits.gz']
NGC_2683|[]
NGC_4725|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/12/CGCG_1248.0+2546:S:UBVR:f2000.fits.gz']
MESSIER_051b|['http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_5195:S:UBVR:k1992.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_5195:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_5195:S:R:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_5195:S:FIR:b2008.fits.gz']
